objectid,filename,title,format,identifier,creator,date,genre,subject,description,fabric,thread,technique,difficulty,source,rights
coll1,test001.jpg,Say Aloe To My Little Friends,image/jpeg,cs001,"Pavik, Victoria",2026,kit,botanical; cartoon; wall piece; embroidery hoop; small finish; words,"A pun-inspired, cartoony succulent plant illustration in green and orange tones that is sewn on a patterned aida. This piece is framed in an embroidery hoop.",14-count printed aida,DMC,cross stitch; backstitch,beginner,Spruce Craft Co,Photo by Victoria Pavik. Finished piece based on the 'Say Aloe To My Little Friends' pattern by Elise Ross.
coll2,test002.jpg,Floral Heart Ornament,image/jpeg,cs002,"Pavik, Victoria",2025,kit; ornament,holiday; botanical; flower; Valentine's Day; small finish,A small wooden heart ornament that features a floral pattern stitched onto the pre-punched wood ornament base.,wood ornament,DMC,"cross stitch, fractional stitch",beginner,Hobby Lobby,Photo by Victoria Pavik. Finished piece based on the 'Floral Heart Ornament' pattern by Cross Stitch Style at Hobby Lobby
coll3,test003.jpg,Pink Floral Bookmark,image/jpeg,cs003,"Pavik, Victoria",2022,kit; bookmark,botanical; floral pattern; decorative border,A narrow bookmark design with repeating pink floral motifs and a geometric border.,14-count aida,Dimensions,cross stitch; backstitch; French knot; fractional stitch; satin stitch,advanced,Craft Central,Photo by Victoria Pavik. Finished piece based on the 'Pink Floral Bookmark' pattern by Dimensions Gold Collection.
coll4,test004.jpg,Take It Or Leaf It,image/jpeg,cs004,"Pavik, Victoria",2026,kit,botanical; wall piece; embroidery hoop; large finish,"A colorful cross-stitch project displayed in a blue embroidery hoop, featuring detailed stitchings of houseplants.",14-count aida,DMC,cross stitch; backstitch,intermediate,Spruce Craft Co,Photo by Victoria Pavik. Finished piece based on the 'Take It Or Leaf It' pattern by Elise Ross.
coll5,test005.jpg,Sunflowers,image/jpeg,cs005,"Pavik, Victoria",2024,kit,botanical; flowers; wall piece; embroidery hoop; small finish,Three large yellow sunflowers surrounded by small pink and purple flowers and vines. This piece is framed in an embroidery hoop.,14-count aida,DMC,cross stitch; French knots,beginner,Hobby Lobby,Photo by Victoria Pavik. Finished piece based on the 'Sunflower' pattern by Cross Stitch Style at Hobby Lobby
coll6,test006.jpg,Welcome Friends,image/jpeg,cs006,"Pavik, Victoria",2025,kit,food; small finish; wall piece; words; framed; vintage,"A steaming pie surrounded by cherries under the words ""Welcome Friends"" in a red plastic frame.",14-count plastic canvas,acrylic yarn,cross stitch; backstitch,beginner,inherited,Photo by Victoria Pavik. Finished piece based on the 'Welcome Friends' pattern by Stitch N' Frame
coll7,test007.jpg,Birds In A Tree,image/jpeg,cs007,"Pavik, Victoria",2025,kit,animals; birds; tree; small finish; wall piece; framed; vintage,Two black and red birds sitting on tree branches with red berries. This piece is framed in a paper card with an oval cutout. ,14-count aida,DMC,cross stitch; backstitch,beginner,inherited,Photo by Victoria Pavik. Finished piece based on the 'Birds In A Tree' pattern by Haandarbejdets Fremme.
coll8,test008.jpg,Vintage Spotted Bunny,image/jpeg,cs008,"Pavik, Victoria",2025,kit,animals; rabbit; vintage; framed; small finish; wall piece,A white bunny with black spots sitting on a blue checkered floor with a red and white striped wall behind it in a blue heart shaped frame surrounded by lace.,14-count aida,Dimensions,cross stitch; backstitch,intermediate,inherited,Photo by Victoria Pavik. Finished piece based on pattern by Dimensions.
coll9,test009.jpg,Witch Hat,image/jpeg,cs009,"Pavik, Victoria",2016,kit; ornament,holiday; Halloween; small finish; framed,A small black witch hat with a yellow and orange buckle surrounded by orange stars and a yellow and orange border. This piece is in a yellow plastic frame. ,14-count aida,DMC,cross stitch; backstitch,beginner,Hobby Lobby,Photo by Victoria Pavik. Finished piece based on the 'Witch Hat' pattern by My First Cross Stitch at Hobby Lobby.
coll10,test010.jpg,[Winter Fawn Ornament],image/jpeg,cs010,"Pavik, Victoria",2023,kit; ornament,holiday; Christmas; animals; fawn; deer; framed; vintage,A fawn laying on snow with holly above it. This piece is in a gold heart shaped frame.,14-count aida,,cross stitch; backstitch; beading,beginner,inherited,Photo by Victoria Pavik. Finished piece based on a pattern by an unknown designer.
coll11,test011.jpg,Summer Bird,image/jpeg,cs011,"Pavik, Victoria",2021,kit,animals; birds; botanical; small finish; wall piece; embroidery hoop,A yellow and black bird sitting in the middle of a colorful floral wreath. This piece is framed in an embroidery hoop. ,14-count aida,DMC,cross stitch; backstitch; French knot,intermediate,Etsy,Photo by Victoria Pavik. Finished piece based on the 'Summer Bird' pattern by Junebug and Darlin on Etsy.
coll12,test012.jpg,High Heel & Purse,image/jpeg,cs012,"Pavik, Victoria",2017,kit,shoe; purse; large finish; striped pattern; unframed,A colorful matching high-heeled shoe and purse standing next to each other. ,16-count aida,DMC,cross stitch; backstitch,intermediate,Hobby Lobby,Photo by Victoria Pavik. Finished piece based on 'High Heel & Purse' pattern by Artiste at Hobby Lobby.
coll13,test013.jpg,Jack and Sally,image/jpeg,cs013,"Pavik, Victoria",2021,kit,holiday; Halloween; small finish; unframed; Disney; people,Jack and Sally from The Nightmare Before Christmas looking at each other. ,14-count aida,DMC,cross stitch; backstitch,beginner,Barnes and Noble,Photo by Victoria Pavik. Finished piece based on the 'Jack and Sally' pattern by RP Minis at Barnes and Noble.
coll14,test014.jpg,Cinnamon Sticks,image/jpeg,cs014,"Pavik, Victoria",2024,kit; magnet; bag,food; small finish; vintage; words; bag,"A small brown poutpourri bag with three cinnamon sticks wrapped in a red bow with the words ""Cinnamon Sticks"" above them. There is a magnet attached to the back of the bag.",14-count aida,acrylic yarn,cross stitch; backstitch,intermediate,inherited ,Photo by Victoria Pavik. Finished piece based on the 'Cinnamon Sticks' pattern by Stitch N' Stuff.
